received_utc,source_ip,raw_message,anomaly_type,reason
20251214T193125Z_22b4a6b1,2025-12-14T19:38:19.766910+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:38:29.802042+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:38:39.773731+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:38:49.872188+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:39:00.010238+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:39:10.045366+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:39:19.840222+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:39:29.912202+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:39:40.039972+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:39:49.980668+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:40:00.322279+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:40:10.030681+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:40:19.934889+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:40:30.017788+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:40:40.052960+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:40:50.095638+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:41:00.225930+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:41:10.022289+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:41:20.194105+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:41:30.130241+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:41:40.069564+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:41:50.195983+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:42:00.105428+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:42:10.164005+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:42:20.300368+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:42:30.147877+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
20251214T193125Z_22b4a6b1,2025-12-14T19:42:40.371579+00:00,192.168.43.169,BAD_TIMESTAMP,Invalid isoformat string: '20251214T193125Z_22b4a6b1'
