source_ip,downtime_start_utc,downtime_end_utc,gap_seconds,threshold_seconds,prev_seq,new_seq,seq_delta,note
192.168.43.169,2025-12-14T18:45:29.308436+00:00,2025-12-14T18:49:09.657613+00:00,220.349,30.0,16,38,22,Gap exceeded threshold (possible silent failure / telemetry loss)
192.168.43.169,2025-12-14T18:53:40.072421+00:00,2025-12-14T19:07:41.645474+00:00,841.573,30.0,65,149,84,Gap exceeded threshold (possible silent failure / telemetry loss)
