received_utc,source_ip,raw_message
2025-12-14T17:46:25.494847,10.135.95.5,TEST_FROM_LAPTOP
2025-12-14T18:42:59.523519,192.168.43.169,"HB,1,10000"
20251214T193125Z_22b4a6b1,2025-12-14T19:40:40.052960+00:00,192.168.43.169,"HB,41,410000"
20251214T193125Z_22b4a6b1,2025-12-14T19:40:50.095638+00:00,192.168.43.169,"HB,42,420000"
20251214T193125Z_22b4a6b1,2025-12-14T19:41:00.225930+00:00,192.168.43.169,"HB,43,430000"
20251214T193125Z_22b4a6b1,2025-12-14T19:41:10.022289+00:00,192.168.43.169,"HB,44,440000"
20251214T193125Z_22b4a6b1,2025-12-14T19:41:20.194105+00:00,192.168.43.169,"HB,45,450000"
20251214T193125Z_22b4a6b1,2025-12-14T19:41:30.130241+00:00,192.168.43.169,"HB,46,460000"
20251214T193125Z_22b4a6b1,2025-12-14T19:41:40.069564+00:00,192.168.43.169,"HB,47,470000"
20251214T193125Z_22b4a6b1,2025-12-14T19:41:50.195983+00:00,192.168.43.169,"HB,48,480000"
20251214T193125Z_22b4a6b1,2025-12-14T19:42:00.105428+00:00,192.168.43.169,"HB,49,490000"
20251214T193125Z_22b4a6b1,2025-12-14T19:42:10.164005+00:00,192.168.43.169,"HB,50,500000"
20251214T193125Z_22b4a6b1,2025-12-14T19:42:20.300368+00:00,192.168.43.169,"HB,51,510000"
20251214T193125Z_22b4a6b1,2025-12-14T19:42:30.147877+00:00,192.168.43.169,"HB,52,520000"
20251214T193125Z_22b4a6b1,2025-12-14T19:42:40.371579+00:00,192.168.43.169,"HB,53,530000"
20251214T193125Z_22b4a6b1,2025-12-14T19:54:04.422003+00:00,192.168.43.169,"HB,121,1210000"
20251214T193125Z_22b4a6b1,2025-12-14T19:54:11.252633+00:00,192.168.43.169,"HB,122,1220000"
20251214T193125Z_22b4a6b1,2025-12-14T19:54:21.288780+00:00,192.168.43.169,"HB,123,1230000"
20251214T193125Z_22b4a6b1,2025-12-14T19:54:31.325272+00:00,192.168.43.169,"HB,124,1240000"
20251214T193125Z_22b4a6b1,2025-12-14T19:54:41.254699+00:00,192.168.43.169,"HB,125,1250000"
20251214T193125Z_22b4a6b1,2025-12-14T19:54:51.596990+00:00,192.168.43.169,"HB,126,1260000"
20251214T193125Z_22b4a6b1,2025-12-14T19:56:31.435751+00:00,192.168.43.169,"HB,136,1360000"
20251214T193125Z_22b4a6b1,2025-12-14T19:56:41.445175+00:00,192.168.43.169,"HB,137,1370000"
20251214T193125Z_22b4a6b1,2025-12-14T19:56:51.507540+00:00,192.168.43.169,"HB,138,1380000"
20251214T193125Z_22b4a6b1,2025-12-14T19:57:01.542719+00:00,192.168.43.169,"HB,139,1390000"
20251214T193125Z_22b4a6b1,2025-12-14T19:57:11.473888+00:00,192.168.43.169,"HB,140,1400000"
20251214T193125Z_22b4a6b1,2025-12-14T19:57:21.508202+00:00,192.168.43.169,"HB,141,1410000"
20251214T193125Z_22b4a6b1,2025-12-14T19:57:31.495953+00:00,192.168.43.169,"HB,142,1420000"
20251214T193125Z_22b4a6b1,2025-12-14T19:57:41.607633+00:00,192.168.43.169,"HB,143,1430000"
20251214T193125Z_22b4a6b1,2025-12-14T19:57:51.613577+00:00,192.168.43.169,"HB,144,1440000"
20251214T193125Z_22b4a6b1,2025-12-14T19:58:01.648494+00:00,192.168.43.169,"HB,145,1450000"
20251214T193125Z_22b4a6b1,2025-12-14T19:58:11.565086+00:00,192.168.43.169,"HB,146,1460000"
20251214T193125Z_22b4a6b1,2025-12-14T19:58:21.719662+00:00,192.168.43.169,"HB,147,1470000"
20251214T193125Z_22b4a6b1,2025-12-14T19:58:31.651723+00:00,192.168.43.169,"HB,148,1480000"
20251214T193125Z_22b4a6b1,2025-12-14T19:58:41.788624+00:00,192.168.43.169,"HB,149,1490000"
20251214T193125Z_22b4a6b1,2025-12-14T19:58:51.734691+00:00,192.168.43.169,"HB,150,1500000"
20251214T193125Z_22b4a6b1,2025-12-14T19:59:01.626614+00:00,192.168.43.169,"HB,151,1510000"
20251214T193125Z_22b4a6b1,2025-12-14T19:59:11.689406+00:00,192.168.43.169,"HB,152,1520000"
20251214T193125Z_22b4a6b1,2025-12-14T19:59:21.726553+00:00,192.168.43.169,"HB,153,1530000"
20251214T193125Z_22b4a6b1,2025-12-14T19:59:31.687605+00:00,192.168.43.169,"HB,154,1540000"
